listing_id,date
17891,2010-04-23
17891,2010-06-24
17891,2010-08-09
17891,2010-09-09
17891,2010-09-29
17891,2010-10-28
17891,2010-11-27
17891,2010-12-25
17891,2011-01-13
17891,2011-01-26
17891,2011-02-13
17891,2011-02-23
17891,2011-03-01
17891,2011-04-09
17891,2011-04-15
17891,2011-04-19
17891,2011-05-02
17891,2011-05-08
17891,2011-05-14
17891,2011-05-28
17891,2011-06-02
17891,2011-06-07
17891,2011-08-01
17891,2011-08-16
17891,2011-08-24
17891,2011-09-18
17891,2011-10-09
17891,2011-11-06
17891,2011-12-03
17891,2012-01-03
17891,2012-03-07
17891,2012-03-21
17891,2012-05-02
17891,2012-05-23
17891,2012-07-04
17891,2012-07-19
17891,2012-09-26
17891,2012-10-27
17891,2012-10-31
17891,2013-03-08
17891,2013-07-14
17891,2013-08-31
17891,2013-09-22
17891,2013-10-21
17891,2013-10-29
17891,2013-11-11
17891,2014-01-03
17891,2014-01-08
17891,2014-03-25
17891,2014-03-29
17891,2014-07-07
17891,2014-09-05
17891,2014-09-28
17891,2014-11-04
17891,2014-12-28
17891,2015-01-03
17891,2015-06-07
17891,2015-09-22
17891,2015-09-28
17891,2015-12-10
17891,2016-01-02
17891,2016-01-09
17891,2016-01-11
17891,2016-02-22
17891,2016-02-27
17891,2016-03-01
17891,2016-03-10
17891,2016-09-19
17891,2016-10-06
17891,2016-10-26
17891,2016-12-16
17891,2017-10-28
17891,2017-11-29
69074,2011-02-14
69074,2011-05-05
69074,2011-07-27
69074,2011-08-01
69074,2011-09-03
69074,2011-09-17
69074,2011-09-21
69074,2011-09-26
69074,2011-10-11
69074,2011-11-18
69074,2012-01-07
69074,2012-02-27
69074,2012-06-10
69074,2012-06-29
69074,2012-10-09
69074,2013-02-16
69074,2013-05-20
69074,2013-08-05
69074,2013-08-25
69074,2013-10-04
69074,2013-10-28
69074,2013-10-30
69074,2014-01-04
69074,2014-01-06
69074,2014-02-05
69074,2014-05-19
69074,2014-08-31
69074,2014-09-09
69074,2015-01-03
69074,2015-02-26
69074,2015-04-10
69074,2015-08-17
69074,2015-09-01
69074,2015-09-09
69074,2015-10-01
69074,2015-10-12
69074,2015-12-31
69074,2016-01-03
69074,2016-03-13
69074,2016-04-16
69074,2016-04-25
69074,2016-05-04
69074,2016-05-14
69074,2016-07-03
69074,2016-07-06
69074,2016-07-13
69074,2016-08-08
69074,2016-08-15
69074,2016-08-29
69074,2016-09-05
69074,2016-09-16
69074,2016-10-13
69074,2016-10-17
69074,2016-10-31
69074,2016-11-19
69074,2016-11-23
69074,2016-11-25
69074,2016-12-13
69074,2016-12-25
69074,2016-12-31
69074,2017-01-07
69074,2017-02-01
69074,2017-02-24
69074,2017-03-18
69074,2017-03-22
69074,2017-03-29
69074,2017-04-05
69074,2017-04-15
69074,2017-06-12
69074,2017-06-15
69074,2017-07-15
69074,2017-07-18
69074,2017-07-26
69074,2017-08-06
69074,2017-08-13
69074,2017-09-19
69074,2017-09-26
69074,2017-10-02
69074,2017-10-30
69074,2017-12-03
69074,2017-12-09
69074,2017-12-11
69074,2017-12-23
69074,2017-12-27
69074,2018-01-02
69074,2018-01-09
69074,2018-01-15
69074,2018-03-10
69074,2018-03-23
69074,2018-04-01
69074,2018-04-08
